# time [s]     intensity
0.000000    -0.783583
0.004361    -0.931053
0.008721    2.008402
0.013082    -0.816962
0.017443    1.477313
0.021804    -0.091163
0.026164    -0.322741
0.030525    0.878196
0.034886    -1.183882
0.039247    -0.861577
0.043607    2.830484
0.047968    2.017515
0.052329    -0.910322
0.056690    -0.808656
0.061050    0.824431
0.065411    -0.115805
0.069772    0.421966
0.074133    1.104627
0.078493    0.601924
0.082854    -0.214798
0.087215    -0.893679
0.091576    2.127326
0.095936    -0.489460
0.100297    0.550482
0.104658    0.594605
0.109019    1.012370
0.113379    1.666086
0.117740    -0.014865
0.122101    -0.386869
0.126462    0.474634
0.130822    -1.025726
0.135183    -0.395568
0.139544    -0.075974
0.143905    0.412240
0.148265    0.562670
0.152626    1.278195
0.156987    -0.028076
0.161348    0.757167
0.165708    0.755353
0.170069    0.565090
0.174430    0.525553
0.178791    1.394326
0.183151    1.139893
0.187512    0.931465
0.191873    2.275723
0.196234    2.545866
0.200594    0.897851
0.204955    2.058336
0.209316    1.446876
0.213676    1.274957
0.218037    1.386580
0.222398    0.545312
0.226759    2.812129
0.231119    2.205613
0.235480    0.882331
0.239841    1.125991
0.244202    1.106904
0.248562    0.404301
0.252923    2.087210
0.257284    0.528630
0.261645    0.999746
0.266005    1.797914
0.270366    2.025225
0.274727    0.729598
0.279088    3.016599
0.283448    3.597370
0.287809    2.967695
0.292170    1.601688
0.296531    3.288186
0.300891    0.353851
0.305252    1.489111
0.309613    1.719194
0.313974    2.298675
0.318334    1.027402
0.322695    2.818758
0.327056    0.971369
0.331417    3.123788
0.335777    3.210349
0.340138    1.634578
0.344499    1.633860
0.348860    0.915529
0.353220    3.239767
0.357581    3.197258
0.361942    2.349304
0.366303    2.226257
0.370663    0.455459
0.375024    3.055803
0.379385    1.704316
0.383746    3.395777
0.388106    0.991050
0.392467    -0.630238
0.396828    1.856364
0.401189    1.224528
0.405549    2.482178
0.409910    0.422794
0.414271    1.573460
0.418632    1.813686
0.422992    0.930498
0.427353    1.599870
0.431714    2.112357
0.436074    1.586803
0.440435    -0.087663
0.444796    3.487932
0.449157    2.779749
0.453517    2.638199
0.457878    1.576314
0.462239    0.540676
0.466600    1.343177
0.470960    0.441830
0.475321    1.412298
0.479682    1.437389
0.484043    2.277896
0.488403    1.940598
0.492764    0.152104
0.497125    0.656308
0.501486    0.834271
0.505846    1.518063
0.510207    -0.334440
0.514568    -0.582284
0.518929    -0.282384
0.523289    0.085304
0.527650    1.282514
0.532011    1.669534
0.536372    -0.027282
0.540732    -1.239350
0.545093    0.477958
0.549454    1.977033
0.553815    0.990854
0.558175    0.828642
0.562536    0.115564
0.566897    -0.104300
0.571258    1.046456
0.575618    -0.418551
0.579979    -0.580688
0.584340    -0.834321
0.588701    -0.152678
0.593061    0.046196
0.597422    -0.047166
0.601783    0.243526
0.606144    -0.741151
0.610504    0.225932
0.614865    -1.195495
0.619226    1.678969
0.623587    -0.618481
0.627947    0.021623
0.632308    -0.452262
0.636669    0.460398
0.641029    -0.415667
0.645390    -0.186193
0.649751    0.364461
0.654112    1.206527
0.658472    1.015869
0.662833    0.058253
0.667194    0.268311
0.671555    1.722009
0.675915    0.729742
0.680276    0.091357
0.684637    0.324035
0.688998    -0.340145
0.693358    1.523847
0.697719    0.824992
0.702080    -0.810656
0.706441    0.825108
0.710801    -1.954851
0.715162    -0.309320
0.719523    -0.460919
0.723884    0.647772
0.728244    -1.148187
0.732605    -0.663738
0.736966    -0.494081
0.741327    -0.436881
0.745687    -0.002984
0.750048    -0.120976
0.754409    0.442336
0.758770    -1.125466
0.763130    -0.050157
0.767491    -0.679289
0.771852    0.800815
0.776213    -0.061831
0.780573    0.599553
0.784934    -0.714075
0.789295    -0.469597
0.793656    0.075075
0.798016    0.221296
0.802377    0.442916
0.806738    -0.184969
0.811099    -0.524546
0.815459    1.011312
0.819820    0.318164
0.824181    -0.326639
0.828542    0.683122
0.832902    -0.366001
0.837263    -0.428440
0.841624    1.112018
0.845984    -0.616616
